TimeStamp,ch1,ch2,ch3,ch4
1213266.1891,5893.99,34622.67,34998.52,36179.02
1213266.1931,5888.37,34622.53,34999.52,36181.84
1213266.1971,5888.99,34626.39,35003.38,36179.64
1213266.2011,5889.46,34642.08,35009.1,36178.97
1213266.2051,5877.35,34609.27,34998.95,36172.35
1213266.2091,5874.68,34600.45,35000.71,36174.11
1213266.2131,5875.87,34603.08,35000.76,36172.59
1213266.2171,5872.3,34600.69,34996.04,36167.82
1213266.2211,5871.92,34599.74,34995.27,36164.91
1213266.2249,5874.59,34603.12,34992.51,36159.85
1213266.2289,5872.3,34612.09,34997.61,36164.24
1213266.2329,5856.42,34613.52,34994.18,36158.76
1213266.2369,5850.94,34607.18,34990.22,36156.37
1213266.2409,5853.46,34604.36,34986.17,36154.94
1213266.2449,5863.14,34605.65,34987.22,36155.37
1213266.2489,5870.34,34616.14,34994.42,36163.53
1213266.2529,5865.96,34619.76,34994.8,36164.81
1213266.2569,5865.96,34613.57,34993.46,36161.95
1213266.2609,5876.45,34622.96,35002.38,36167.67
1213266.2649,5881.45,34614.47,35004.19,36170.44
1213266.2689,5879.74,34611.13,35002.86,36172.68
1213266.2729,5865.91,34603.46,34993.7,36167.82
1213266.2769,5854.51,34595.4,34985.69,36159.66
1213266.2809,5840.25,34591.25,34977.73,36152.51
1213266.2849,5838.16,34590.44,34975.58,36151.46
1213266.2889,5826.28,34572.46,34969.48,36143.97
1213266.2929,5823.8,34571.03,34966.66,36141.35
1213266.2969,5835.68,34580.95,34971.0,36147.74
1213266.3009,5852.46,34597.07,34981.64,36158.52
1213266.3049,5849.79,34594.02,34983.11,36159.19
1213266.3089,5841.26,34598.45,34982.88,36156.13
1213266.3129,5848.36,34611.8,34989.93,36159.09
1213266.3169,5849.17,34594.97,34989.08,36160.09
1213266.3209,5840.11,34595.54,34984.12,36155.51
1213266.3249,5829.0,34587.53,34974.63,36143.31
1213266.3289,5825.9,34580.43,34964.99,36130.96
1213266.3329,5811.17,34575.9,34957.32,36122.95
1213266.3369,5796.43,34572.27,34954.03,36119.27
1213266.3409,5784.08,34572.8,34956.75,36118.46
1213266.3449,5778.27,34570.75,34954.84,36118.8
1213266.3489,5788.76,34579.76,34964.14,36127.14
1213266.3529,5787.85,34582.43,34969.43,36132.77
1213266.3566,5776.93,34586.58,34972.1,36133.68
1213266.3606,5775.64,34591.3,34978.35,36138.78
1213266.3646,5778.6,34586.62,34979.35,36144.45
1213266.3686,5764.68,34575.99,34967.95,36134.68
1213266.3726,5767.78,34577.76,34973.15,36141.78
1213266.3766,5784.46,34595.21,34986.02,36154.51
1213266.3806,5790.9,34602.26,34993.94,36162.09
1213266.3846,5794.34,34589.87,34998.75,36168.87
1213266.3886,5792.05,34598.55,35000.38,36167.34
1213266.3926,5793.72,34613.85,35009.29,36174.35
1213266.3966,5799.2,34610.18,35010.63,36177.21
1213266.4006,5803.97,34611.99,35006.19,36175.83
1213266.4046,5809.26,34616.33,35006.1,36178.26
1213266.4086,5806.88,34616.19,35002.66,36176.64
1213266.4126,5805.92,34611.04,34994.27,36168.63
1213266.4166,5795.77,34605.17,34988.79,36162.43
1213266.4206,5786.56,34608.18,34989.84,36162.52
1213266.4246,5798.15,34611.04,34996.66,36167.53
1213266.4286,5812.12,34615.0,35002.95,36173.78
1213266.4326,5815.65,34614.52,35000.66,36170.53
1213266.4366,5814.31,34616.43,35001.9,36171.06
1213266.4406,5813.5,34603.27,34994.13,36163.72
1213266.4446,5827.52,34611.09,35001.0,36171.39
1213266.4486,5831.91,34615.0,35007.62,36172.97
1213266.4526,5824.47,34611.18,35008.29,36171.58
1213266.4566,5821.99,34624.53,35014.16,36176.73
1213266.4606,5826.43,34614.76,35010.72,36175.3
1213266.4646,5829.43,34621.48,35014.2,36178.74
1213266.4686,5823.04,34615.43,35006.72,36166.48
1213266.4726,5814.55,34606.37,34999.04,36159.81
1213266.4766,5810.83,34609.23,34996.99,36157.28
1213266.4806,5805.92,34607.32,34997.85,36158.52
1213266.4846,5802.92,34604.84,34996.23,36154.94
1213266.4883,5798.05,34601.88,34995.61,36154.13
1213266.4923,5792.14,34602.41,34994.75,36154.32
1213266.4963,5798.05,34617.43,35002.76,36161.86
1213266.5003,5800.44,34620.62,35004.43,36165.29
1213266.5043,5808.64,34625.82,35015.68,36177.93
1213266.5083,5833.77,34642.37,35037.47,36199.53
1213266.5123,5833.05,34640.7,35038.05,36202.48
1213266.5163,5819.56,34640.94,35035.28,36200.48
1213266.5203,5827.28,34650.66,35044.63,36209.16
1213266.5243,5835.96,34662.06,35054.4,36216.88
1213266.5283,5822.8,34640.7,35042.91,36206.39
1213266.5323,5834.1,34647.18,35049.87,36213.74
1213266.5363,5841.69,34654.43,35055.21,36220.7
1213266.5403,5843.35,34656.96,35060.31,36222.56
1213266.5443,5861.43,34672.36,35079.77,36238.48
1213266.5483,5870.2,34681.09,35090.26,36248.4
1213266.5523,5875.87,34691.62,35095.41,36252.88
1213266.5563,5876.92,34683.9,35087.4,36244.59
1213266.5603,5882.03,34687.09,35086.68,36244.21
1213266.5643,5884.36,34690.43,35087.73,36243.87
1213266.5683,5878.12,34693.2,35089.35,36246.07
1213266.5723,5883.84,34694.63,35091.93,36249.17
1213266.5763,5891.42,34697.44,35094.89,36250.26
1213266.5803,5890.56,34698.3,35094.5,36247.97
1213266.5843,5892.8,34703.35,35096.89,36250.12
1213266.5883,5888.75,34697.58,35097.7,36253.55
1213266.5923,5891.37,34702.11,35099.18,36257.61
1213266.5963,5890.56,34679.46,35088.02,36252.41
1213266.6003,5898.14,34689.19,35090.69,36254.41
1213266.6043,5892.9,34694.2,35094.27,36257.94
1213266.6083,5888.75,34690.1,35090.02,36255.89
1213266.6123,5886.08,34681.47,35081.72,36244.59
1213266.6163,5895.42,34693.2,35090.74,36250.6
1213266.62,5900.0,34693.82,35096.6,36252.17
1213266.624,5905.49,34699.68,35103.95,36256.37
1213266.628,5910.78,34702.88,35110.14,36263.47
1213266.632,5908.68,34702.11,35110.14,36263.28
1213266.636,5889.23,34681.52,35095.22,36251.64
1213266.64,5865.48,34674.46,35084.01,36237.67
1213266.644,5861.19,34672.93,35078.82,36229.57
1213266.648,5859.76,34669.02,35073.38,36224.75
1213266.652,5860.95,34672.69,35076.24,36229.04
1213266.656,5867.43,34682.95,35084.16,36236.24
1213266.66,5867.48,34676.7,35078.96,36233.33
1213266.664,5866.43,34678.42,35076.19,36231.19
1213266.668,5869.91,34673.74,35071.57,36226.85
1213266.672,5866.86,34651.24,35060.84,36221.13
1213266.676,5871.96,34656.48,35063.13,36218.22
1213266.68,5864.43,34656.58,35059.93,36211.92
1213266.684,5871.34,34667.07,35073.33,36225.75
1213266.688,5872.3,34663.59,35073.38,36226.37
1213266.692,5876.21,34660.77,35069.66,36224.18
1213266.696,5888.7,34662.25,35074.29,36228.8
1213266.7,5888.7,34665.92,35077.91,36233.72
1213266.704,5883.79,34662.01,35077.39,36234.91
1213266.708,5890.61,34669.21,35081.92,36237.86
1213266.712,5895.66,34674.65,35084.92,36237.29
1213266.716,5879.55,34665.4,35077.43,36224.99
1213266.72,5863.19,34663.4,35070.33,36217.69
1213266.724,5861.09,34665.97,35068.47,36216.31
1213266.728,5875.83,34680.8,35076.29,36224.56
1213266.732,5880.02,34700.3,35083.92,36228.61
1213266.736,5869.87,34678.65,35076.34,36225.8
1213266.74,5862.67,34672.07,35066.61,36214.69
1213266.744,5847.98,34671.02,35062.22,36209.73
1213266.748,5840.49,34662.78,35054.16,36205.96
1213266.7518,5846.55,34666.45,35053.88,36208.35
1213266.7558,5855.47,34674.03,35063.03,36218.08
1213266.7598,5843.97,34660.15,35051.4,36208.78
1213266.7638,5835.1,34647.04,35039.67,36195.57
1213266.7678,5833.86,34643.51,35038.86,36192.61
1213266.7718,5828.43,34636.88,35034.8,36189.37
1213266.7758,5833.67,34637.88,35035.66,36193.33
1213266.7798,5831.77,34630.45,35029.08,36189.56
1213266.7838,5842.35,34637.74,35038.14,36193.76
1213266.7878,5847.17,34643.42,35046.58,36202.24
1213266.7918,5842.5,34641.89,35043.86,36199.48
1213266.7958,5840.59,34629.02,35033.61,36189.75
1213266.7998,5833.53,34622.39,35021.5,36179.69
1213266.8038,5821.8,34612.95,35013.11,36173.73
1213266.8078,5823.85,34621.39,35015.63,36173.49
1213266.8118,5826.14,34628.2,35020.26,36174.83
