TimeStamp,ch1,ch2,ch3,ch4
8557.0047,68341.74,36555.2,32219.03,34233.76
8557.0087,68353.33,36573.22,32237.01,34249.21
8557.0127,68345.94,36568.74,32217.79,34246.4
8557.0167,68317.37,36533.26,32190.61,34218.98
8557.0207,68305.21,36520.96,32191.85,34203.72
8557.0247,68334.02,36552.96,32224.99,34230.38
8557.0287,68344.17,36567.26,32223.18,34241.97
8557.0327,68343.5,36564.4,32227.42,34242.06
8557.0367,68346.08,36565.07,32240.39,34243.83
8557.0407,68347.27,36569.31,32230.05,34247.35
8557.0447,68342.41,36566.64,32231.53,34243.3
8557.0487,68335.83,36564.97,32223.42,34241.16
8557.0527,68321.81,36553.15,32209.11,34233.76
8557.0567,68329.58,36560.3,32217.41,34241.54
8557.0607,68355.14,36577.85,32243.45,34264.62
8557.0644,68354.76,36575.99,32241.59,34261.04
8557.0684,68360.67,36585.38,32247.36,34269.05
8557.0724,68360.72,36582.47,32247.5,34270.77
8557.0764,68364.2,36582.71,32251.12,34271.77
8557.0804,68344.74,36565.02,32234.82,34248.69
8557.0844,68341.22,36562.49,32231.19,34245.92
8557.0884,68346.17,36571.98,32234.82,34258.32
8557.0924,68342.17,36568.6,32231.14,34257.27
8557.0964,68340.12,36561.92,32230.81,34249.74
8557.1004,68323.14,36541.85,32216.55,34226.56
8557.1044,68329.53,36548.0,32223.94,34231.14
8557.1084,68342.84,36564.4,32234.29,34249.07
8557.1124,68343.27,36564.88,32232.81,34251.41
8557.1164,68332.25,36549.14,32226.76,34238.77
8557.1204,68318.76,36536.75,32218.84,34223.32
8557.1244,68313.18,36532.88,32214.45,34216.5
8557.1284,68323.67,36547.09,32216.98,34231.33
8557.1324,68328.29,36553.53,32220.37,34239.92
8557.1364,68313.27,36535.93,32207.11,34223.7
8557.1404,68315.08,36533.5,32207.78,34223.23
8557.1444,68332.92,36551.91,32224.23,34240.63
8557.1484,68336.64,36558.68,32221.04,34248.74
8557.1524,68339.4,36559.54,32218.89,34251.55
8557.1564,68362.67,36581.47,32243.4,34272.58
8557.1604,68346.03,36562.07,32229.71,34254.22
8557.1644,68360.1,36571.94,32244.83,34262.71
8557.1684,68371.11,36584.29,32250.12,34273.96
8557.1724,68374.45,36587.48,32251.27,34282.59
8557.1764,68376.26,36587.58,32255.89,34281.07
8557.1804,68355.38,36571.32,32240.44,34254.27
