TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
1213271.953,893.223,-256.444,-347.09,-1155.0,-6308.75,-5425.0,1279.84,-161.12,129.2
1213272.003,872.178,-279.624,-355.935,3438.75,-9406.25,-8242.5,1284.4,-165.68,112.48
1213272.053,899.506,-296.826,-367.403,29321.25,-20667.5,-26617.5,1278.32,-165.68,126.16
1213272.103,883.524,-237.107,-378.749,33985.0,-18392.5,-31106.25,1267.68,-147.44,104.88
1213272.153,907.009,-205.997,-399.794,42061.25,-22881.25,-34011.25,1284.4,-147.44,110.96
1213272.203,912.499,-161.528,-418.643,39488.75,-14262.5,-30283.75,1266.16,-135.28,82.08
1213272.253,907.619,-148.169,-416.508,33915.0,-11821.25,-22347.5,1269.2,-130.72,98.8
1213272.303,896.09,-136.945,-415.837,26005.0,-6790.0,-15960.0,1255.52,-147.44,91.2
1213272.353,905.118,-157.014,-410.896,18698.75,-5407.5,-10386.25,1249.44,-123.12,79.04
1213272.403,903.288,-152.317,-406.321,8575.0,-586.25,-5407.5,1269.2,-132.24,85.12
1213272.453,894.26,-163.053,-398.757,4515.0,726.25,-1653.75,1247.92,-138.32,74.48
1213272.503,889.441,-185.928,-395.158,-1470.0,2047.5,875.0,1263.12,-139.84,89.68
1213272.553,889.563,-206.973,-392.779,-192.5,595.0,-271.25,1257.04,-133.76,83.6
1213272.603,896.578,-194.59,-393.694,3167.5,192.5,-2668.75,1249.44,-150.48,97.28
1213272.653,890.173,-191.235,-393.267,2222.5,-490.0,-2467.5,1266.16,-153.52,88.16
1213272.703,902.007,-183.366,-394.67,1653.75,700.0,-962.5,1260.08,-132.24,85.12
1213272.753,897.737,-187.27,-387.655,-1338.75,796.25,-647.5,1270.72,-132.24,89.68
1213272.803,902.19,-192.76,-389.119,-2021.25,1408.75,-918.75,1250.96,-127.68,72.96
1213272.853,893.101,-192.333,-384.666,-1837.5,-446.25,-980.0,1273.76,-153.52,97.28
1213272.903,898.713,-195.993,-385.459,-1330.0,-175.0,-1277.5,1250.96,-133.76,91.2
1213272.953,895.663,-193.614,-387.655,-166.25,-253.75,-1688.75,1267.68,-135.28,94.24
1213273.003,894.382,-197.213,-388.875,-437.5,-700.0,-1645.0,1261.6,-141.36,95.76
1213273.053,903.471,-194.346,-388.814,393.75,-1575.0,-2388.75,1266.16,-144.4,79.04
1213273.103,900.36,-188.978,-386.496,1198.75,-831.25,-1933.75,1263.12,-147.44,95.76
